Source,Target,Direction,Data,Frequency,Type
Node200,Node193,1,Electronic Communications,EOD,Batch
Node153,Node096,1,UAM,Intraday,MSG
Node153,Node097,1,UAM,Intraday,MSG
Node153,Node150,1,UAM,Intraday,MSG
Node002,Node209,1,Reference Data,EOD,Batch
Node002,Node160,1,Trades,EOD,Batch
Node002,Node122,2,Validated Markets Data,EOD,Batch
Node002,Node146,1,Derived Data,EOD,Batch
Node003,Node050,2,Settlements,EOD,Batch
Node005,Node170,2,"IBank Orders, Market Price, IBank Trades",Intraday,API
Node005,Node178,2,Trades,Intraday,API
Node005,Node171,2,"IBank Orders, Market Price, IBank Trades",Intraday,API
Node005,Node023,1,IBank Orders,Intraday,API
Node005,Node172,2,"IBank Orders, Market Price, IBank Trades",Intraday,API
Node005,Node031,1,IBank Orders,Intraday,API
Node005,Node173,2,"IBank Orders, Market Price, IBank Trades",Intraday,API
Node005,Node045,1,IBank Orders,Intraday,API
Node005,Node168,1,IBank Orders,Intraday,API
Node005,Node174,2,"IBank Orders, Market Price, IBank Trades",Intraday,API
Node005,Node169,1,IBank Orders,Intraday,API
Node005,Node183,1,"Deals, quotes, depth ",Intraday,MSG
Node005,Node163,2,FX Trades,Intraday,MSG
Node005,Node175,2,"IBank Orders, Market Price, IBank Trades",Intraday,API
Node005,Node117,1,IBank Orders,Intraday,API
Node005,Node176,2,"IBank Orders, Market Price, IBank Trades",Intraday,API
Node005,Node150,1,Direct Trader Deals,Intraday,API
Node006,Node145,1,License,Intraday,API
Node007,Node078,2,RFQ,Intraday,API
Node007,Node096,1,"Trades, Block allocation",Intraday,MSG
Node007,Node102,1,"Trades, Block allocation",EOD,Batch
Node008,Node002,1,Trades,EOD,Batch
Node008,Node089,1,Trades,Intraday,API
Node008,Node145,1,Manual keying to VCON (affirmation),Intraday,API
Node008,Node146,1,Trades,EOD,Batch
Node009,Node002,1,Market Data,EOD,Batch
Node009,Node078,1,Reference Data,EOD,Batch
Node009,Node122,1,Markets Data,Intraday,API
Node009,Node197,1,Market Data,Intraday,MSG
Node009,Node146,1,Market Data,EOD,Batch
Node010,Node145,1,Confirmation,Intraday,API
Node194,Node193,1,Electronic Communications,EOD,Batch
Node011,Node130,1,Equities & futures,Intraday,API
Node201,Node193,1,Electronic Communications,EOD,Batch
Node013,Node079,1,"Customer, Facility",Intraday,MSG
Node158,Node196,1,Application Log,Intraday,API
Node014,Node130,1,Warrants,Intraday,API
Node016,Node020,2,Commerical Bill Drawdowns,Intraday,MSG
Node019,Node124,1,"Sales Orders, Trades",Intraday,API
Node020,Node013,1,Trade Event (Sales $val),Intraday,MSG
Node020,Node027,1,Reports,EOD,Batch
Node020,Node046,1,Daily Trades,EOD,Batch
Node020,Node069,1,"Daily Trades, Active Deals, Static Ref Data",EOD,Batch
Node020,Node083,1,Customer Advices,EOD,Batch
Node020,Node104,1,"AU Cash, NZ Cash",Intraday,MSG
Node020,Node160,1,Trades,EOD,Batch
Node021,Node090,1,Swift Payment,Intraday,MSG
Node021,Node104,1,Payments (VIPA format),Intraday,MSG
Node202,Node193,1,Electronic Communications,EOD,Batch
Node167,Node206,1,Customer Info,Intraday,API
Node165,Node199,1,"SMTP/TLS Alerts, Emails",Intraday,API
Node165,Node203,2,Authenticate and Authorise,Intraday,API
Node165,Node204,2,ESM Reports/Spreadsheets & access dbs,EOD,Batch
Node023,Node005,1,IBank Trades,Intraday,API
Node023,Node089,2,Trades,Intraday,API
Node024,Node130,1,Routed Executions,Intraday,API
Node026,Node012,1,Usage Drawdowns,Intraday,MSG
Node026,Node020,1,Commerical Bill Drawdowns,Intraday,MSG
Node028,Node163,1,PFE’s,Intraday,MSG
Node028,Node112,1,PFE’s,Intraday,MSG
Node205,Node182,1,Customer Data,EOD,Batch
Node205,Node071,1,Customer Onboarding,Intraday,API
