Source,Target,Direction,Data,Frequency,Type
Node143,Node147,2,"Spot Prices, Fwd Prices",Intraday,MSG
Node143,Node070,1,Loan Data,Intraday,API
Node143,Node113,1,"Business Reference Data, P&L",EOD,Batch
Node143,Node076,1,General Ledger,Intraday,API
Node143,Node079,1,Loan Data,Intraday,API
Node143,Node133,1,Markets Data,Intraday,API
Node143,Node086,1,"Markets, Trades Positions, List of collateral, Trades",EOD,Batch
Node143,Node087,2,"Validated Markets Data, Market Data, Collateral balances",EOD,Batch
Node143,Node152,1,Brokerage Details,Intraday,API
Node066,Node023,1,Customer Accounting Entries (Internal),Intraday,MSG
Node066,Node114,2,SWIFT Message,Intraday,MSG
Node066,Node079,1,"Trades, POS, MTM, Cashflows",EOD,Batch
Node066,Node096,1,Payments,Intraday,API
Node066,Node098,1,Daily Trades,EOD,Batch
Node066,Node129,1,"Confirmation, Matching",EOD,Batch
Node067,Node023,1,Customer Accounting Entries (Internal),EOD,Batch
Node067,Node143,1,"Trades, Confirmation",Intraday,MSG
Node068,Node066,1,Payments,Intraday,MSG
Node114,Node043,2,Authorise User,Intraday,API
Node114,Node143,2,"Trades, Settlement Instructions, Fax",Intraday,MSG
Node147,Node143,1,"Trade Execution/Amendments, Regulatory Reporting, Customer, payments/Ledger/Accounting",Intraday,API
Node143,Node087,1,P&L and valuations ,Intraday,MSG
Node147,Node140,1,Application Log,Intraday,API
Node143,Node152,1,Brokerage Fee,EOD,Batch
Node143,Node129,1,"Confirmation, FX Rates, Expiry CSV file, Fax",EOD,Batch
Node143,Node071,1,Positions,EOD,Batch
Node065,Node148,1,Trades,Intraday,MSG
Node113,Node143,1,TLTB Balance,EOD,Batch
Node113,Node140,1,Application Log,Intraday,API
Node072,Node093,1,STP VCON (affirmation),Intraday,API
Node074,Node066,2,Payment Instructions,Intraday,MSG
Node074,Node143,2,"Confirmation, Matching",EOD,Batch
Node075,Node115,1,SWIFT Message,Intraday,MSG
Node075,Node047,1,FX Accept,Intraday,MSG
Node075,Node114,2,Payments Processing,Intraday,MSG
Node127,Node143,1,Wholesale Rate,Intraday,API
Node127,Node131,1,"Quotes, position, P&L",Intraday,MSG
Node076,Node143,1,Regional FX Spot Rates,EOD,Batch
Node078,Node110,1,Scenarios Management,EOD,Batch
Node079,Node153,1,Trades,EOD,Batch
Node079,Node143,1,"Position, MTM, Limits",EOD,Batch
Node073,Node067,1,FX Transaction thru MATI,Intraday,MSG
Node081,Node002,1,Market Data,EOD,Batch
Node080,Node147,1,Trades,Intraday,API
Node082,Node058,2,"Trades, Prices, RFQ",Intraday,API
Node028,Node083,1,UAM,Intraday,API
Node084,Node002,1,ANZ Prices,Intraday,API
Node084,Node004,1,IBank Trades,Intraday,API
Node084,Node137,1,Electronic Communications,EOD,Batch
Node084,Node058,1,Reference Data,EOD,Batch
