NodeID,LongName,LayerOrdinal,Layer,Critically,Desirability,DisplayWeight,BusinessArea,BusinessFunction,nonMarkets,ObjectType,ObjectColour,Object Base Colour,Xsize,Ysize,Zsize
Node092,Node092,2,Application,Bronze,GREEN,1,BA08,BF15,1,Cube,Light Gray,Brown,4.5,4.5,4.5
Node093,Node093,3,Service,Silver,GREEN,2,BA03,BF45,,Dome,Gold,Gray,20,14,14
Node094,Node094,2,Application,Bronze,GREEN,1,BA01,BF46,1,Cube,Light Gray,Brown,4.5,4.5,4.5
Node095,Node095,4,Channel,Silver,GREEN,1,BA03,BF17,,Sphere (no edges),Light Purple,Gray,5,5,5
Node096,Node096,3,Service,Platinum,GREEN,1,BA16,BF47,1,Square pyramid,Light Gray,Deep Blue,3.5,2.5,2.5
Node097,Node097,1,Data & Integration,Gold,GREEN,1,BA06,BF19,,Medium Cylinder,Gold,Yellow,8,5,5
Node098,Node098,2,Application,Silver,GREEN,1,BA09,BF09,1,Cube,Light Gray,Gray,4.5,4.5,4.5
Node099,Node099,4,Channel,Silver,GREEN,1,BA01,BF01,,Sphere (no edges),Light Purple,Gray,5,5,5
Node100,Node100,3,Service,Silver,GREEN,1,BA01,BF48,,Square pyramid,Brown,Gray,7,5,5
Node101,Node101,4,Channel,Silver,RED,1,BA02,BF31,1,Sphere (no edges),Light Gray,Gray,2.5,2.5,2.5
Node102,Node102,4,Channel,Silver,GREEN,1,BA04,BF18,,Few-Triangle Edge Sphere,Brown,Gray,6,6,6
Node103,Node103,4,Channel,Silver,GREEN,1,BA03,BF13,,Sphere (no edges),Blue,Gray,5,5,5
Node104,Node104,4,Channel,Gold,RED,1,BA15,BF49,1,Sphere (no edges),Light Gray,Yellow,2.5,2.5,2.5
Node105,Node105,4,Channel,Silver,GREEN,1,BA03,BF13,,Sphere (no edges),Blue,Gray,5,5,5
Node106,Node106,4,Channel,Gold,GREEN,1,BA03,BF04,,Sphere (no edges),Orange,Yellow,5,5,5
Node107,Node107,4,Channel,Platinum,RED,1,BA03,BF04,1,Few-Triangle Edge Sphere,Light Gray,Deep Blue,2.5,2.5,2.5
Node108,Node108,4,Channel,Silver,GREEN,1,BA17,BF50,,Sphere (no edges),Light Blue,Gray,5,5,5
Node109,Node109,4,Channel,Silver,GREEN,1,BA08,BF19,,Sphere (no edges),Orange,Gray,5,5,5
Node110,Node110,3,Service,Silver,GREEN,1,BA01,BF48,,Circular pyramid,Gray,Gray,5,3,3
Node111,Node111,2,Application,Silver,GREEN,1,BA03,BF17,,Cube,Gray,Gray,9,9,9
Node112,Node112,1,Data & Integration,Gold,GREEN,2,BA10,BF51,,Large Cylinder,Pink,Yellow,20,14,14
Node113,Node113,2,Application,Not Rated,GREEN,3,BA03,BF13,,Cube,Light Green,Light Gray,21.6,21.6,21.6
Node114,Node114,2,Application,Platinum,GREEN,3,BA02,BF02,,Vertical Rectangle,Brown,Deep Blue,16.2,16.2,54
Node115,Node115,2,Application,Silver,GREEN,2,BA02,BF05,,Horizontal Rectange,Brown,Gray,8.8,30.8,15.4
Node116,Node116,2,Application,Silver,GREEN,1,BA02,BF27,,Horizontal Rectange,Brown,Gray,3.6,12.6,6.3
Node117,Node117,2,Application,Silver,RED,1,BA13,BF52,,Horizontal Rectange,Brown,Gray,4,14,7
Node118,Node118,4,Channel,Silver,GREEN,1,BA03,BF26,,Sphere (no edges),Brown,Gray,5,5,5
Node119,Node119,4,Channel,Silver,GREEN,1,BA02,BF05,1,Sphere (no edges),Light Gray,Gray,2.5,2.5,2.5
Node120,Node120,4,Channel,Silver,GREEN,1,BA03,BF13,1,Sphere (no edges),Light Gray,Gray,2.5,2.5,2.5
Node121,Node121,4,Channel,Silver,GREEN,1,BA03,BF17,1,Sphere (no edges),Light Gray,Gray,2.5,2.5,2.5
Node122,Node122,4,Channel,Silver,GREEN,1,BA04,BF53,1,Sphere (no edges),Light Gray,Gray,2.5,2.5,2.5
Node123,Node123,4,Channel,Silver,GREEN,1,BA09,BF23,1,Sphere (no edges),Light Gray,Gray,2.5,2.5,2.5
Node124,Node124,4,Channel,Silver,GREEN,1,BA03,BF54,1,Sphere (no edges),Light Gray,Gray,2.5,2.5,2.5
Node125,Node125,4,Channel,Silver,GREEN,1,BA03,BF13,1,Sphere (no edges),Light Gray,Gray,2.5,2.5,2.5
Node126,Node126,4,Channel,Silver,GREEN,1,BA06,BF23,1,Sphere (no edges),Light Gray,Gray,2.5,2.5,2.5
Node127,Node127,2,Application,Gold,GREEN,2,BA03,BF13,,Vertical Rectangle,#N/A,Yellow,16.8,16.8,56
Node128,Node128,2,Application,Gold,GREEN,2,BA03,BF55,,Vertical Rectangle,#N/A,Yellow,13.2,13.2,44
Node129,Node129,2,Application,Silver,GREEN,1,BA03,BF26,,Vertical Rectangle,Light Brown,Gray,6,6,20
Node130,Node130,2,Application,Silver,GREEN,1,BA13,BF56,1,Vertical Rectangle,Light Gray,Gray,3,3,10
Node131,Node131,2,Application,Silver,GREEN,2,BA03,BF55,,Vertical Rectangle,Deep Pink,Gray,12,12,40
Node132,Node132,4,Channel,Silver,GREEN,1,BA08,BF08,,Few-Triangle Edge Sphere,Green,Gray,5,5,5
Node133,Node133,2,Application,Gold,GREEN,2,BA18,BF57,,Vertical Rectangle,Yellow,Yellow,15.6,15.6,52
Node134,Node134,3,Service,Silver,GREEN,1,BA08,BF58,,Few-Triangle Edge Sphere,Pink,Gray,5,5,5
Node135,Node135,2,Application,Gold,GREEN,1,BA08,BF18,,Horizontal Rectange,Brown,Yellow,4,14,7
Node136,Node136,4,Channel,Silver,GREEN,1,BA02,BF08,,#N/A,Green,Gray,#N/A,#N/A,#N/A
Node137,Node137,2,Application,Silver,GREEN,1,BA02,BF18,,Horizontal Rectange,Green,Gray,4,14,7
Node138,Node138,3,Service,Silver,GREEN,1,BA10,BF59,,Few-Triangle Edge Sphere,Green,Gray,5,5,5
Node139,Node139,2,Application,Silver,GREEN,1,BA03,BF26,,#N/A,Brown,Gray,#N/A,#N/A,#N/A
Node140,Node140,2,Application,Silver,GREEN,2,BA03,BF26,,Cube,Gray,Gray,18,18,18
Node141,Node141,1,Data & Integration,Bronze,GREEN,1,BA19,BF60,,Medium Cylinder,Pink,Brown,8,5,5
Node142,Node142,1,Data & Integration,Silver,GREEN,1,BA03,BF13,,Medium Cylinder,Brown,Gray,8,5,5
Node143,Node143,1,Data & Integration,Silver,GREEN,3,BA04,BF61,,Horizontal Rectange,Deep Purple,Gray,24,84,42
Node144,Node144,4,Channel,Silver,GREEN,1,BA08,BF53,1,Many-Triangle Edge Sphere,Light Gray,Gray,2.5,2.5,2.5
Node145,Node145,4,Channel,Silver,GREEN,1,BA02,BF27,,Many-Triangle Edge Sphere,Brown,Gray,5,5,5
Node146,Node146,4,Channel,Silver,GREEN,1,BA13,BF02,1,Many-Triangle Edge Sphere,Light Gray,Gray,2.5,2.5,2.5
Node147,Node147,2,Application,Platinum,GREEN,3,BA08,BF53,,Vertical Rectangle,Brown,Deep Blue,27,27,90
Node148,Node148,3,Service,Platinum,GREEN,2,BA09,BF15, ,Cube,Blue,Deep Blue,21.6,21.6,21.6
Node149,Node149,4,Channel,Gold,GREEN,1,BA09,BF09,1,,,,,,
Node150,Node150,3,Service,Silver,GREEN,1,BA20,BF62,1,,,,,,
Node151,Node151,1,Data & Integration,Gold,GREEN,1,BA02,BF27,1,,,,,,
Node152,Node152,2,Application,Silver,GREEN,2,BA20,BF63,,,,,,,
Node153,Node153,2,Application,Silver,GREEN,1,BA20,BF63,,,,,,,
Node154,Node154,1,Data & Integration,Bronze,GREEN,1,BA04,BF64,1,,,,,,
Node155,Node155,2,Application,Silver,GREEN,1,BA13,BF12,,,,,,,
